City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Riacho De Santana,BR,72.36,moderate rain,-13.6092,-42.9389,Casa Nogueira
1,Bol,TD,72.82,clear sky,13.4586,14.7147,Hotel 3 Etoiles
2,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
3,Dingle,PH,73.38,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
6,Ancud,CL,75.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
9,Kavieng,PG,81.16,broken clouds,-2.5744,150.7967,Nusa Island Retreat
10,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
11,Touros,BR,86.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
12,Xambioa,BR,83.59,overcast clouds,-6.4111,-48.5364,Pousada Do Sol
13,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
17,Bambous Virieux,MU,79.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
19,Rocha,UY,71.35,clear sky,-34.4833,-54.3333,Hotel Arrarte
20,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
24,Port Alfred,ZA,75.02,scattered clouds,-33.5906,26.891,The Halyards Hotel
29,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Castro,BR,77.86,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
34,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
35,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
37,Kudahuvadhoo,MV,81.88,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
38,Cidreira,BR,81.25,clear sky,-30.1811,-50.2056,Hotel Castelo
43,Namibe,AO,75.06,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
45,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
47,Camana,PE,75.09,broken clouds,-16.6228,-72.7111,Hostal Morales
52,Rikitea,PF,79.09,clear sky,-23.1203,-134.9692,People ThankYou
56,Inirida,CO,86.18,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
57,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
59,Cabo San Lucas,MX,76.6,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
62,Hithadhoo,MV,82.47,scattered clouds,-0.6,73.0833,Scoop Guest House
63,Ballitoville,ZA,73.24,light rain,-29.539,31.2144,Hampshire Hotel-Ballito
66,Mareeba,AU,70.52,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
67,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
70,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
71,Port Blair,IN,78.66,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
