City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Riacho De Santana,BR,-13.6092,-42.9389,72.36,88,100,3.69,moderate rain
1,Bol,TD,13.4586,14.7147,72.82,34,0,15.66,clear sky
2,Saint-Philippe,RE,-21.3585,55.7679,78.39,80,99,15.5,overcast clouds
3,Dingle,PH,10.9995,122.6711,73.38,89,63,8.48,broken clouds
4,Kaniama,CD,-7.5667,24.1833,66.49,96,100,4.05,light rain
5,Chokurdakh,RU,70.6333,147.9167,-39.37,100,87,2.51,overcast clouds
6,Ancud,CL,-41.8697,-73.8203,75.22,66,10,6.38,clear sky
7,Ushuaia,AR,-54.8,-68.3,55.81,81,100,8.32,overcast clouds
8,Laguna,US,38.421,-121.4238,65.97,60,0,1.01,clear sky
9,Kavieng,PG,-2.5744,150.7967,81.16,77,82,3.47,broken clouds
10,Grand Gaube,MU,-20.0064,57.6608,79.38,80,91,4.0,overcast clouds
11,Touros,BR,-5.1989,-35.4608,86.9,63,1,13.51,clear sky
12,Xambioa,BR,-6.4111,-48.5364,83.59,83,100,1.5,overcast clouds
13,Bathsheba,BB,13.2167,-59.5167,83.01,65,40,18.41,scattered clouds
14,Muzhi,RU,65.3667,64.6667,-20.99,100,94,1.19,overcast clouds
15,Tabas,IR,33.5959,56.9244,49.01,34,0,3.58,clear sky
16,High Level,CA,58.5169,-117.136,34.23,85,28,5.82,scattered clouds
17,Bambous Virieux,MU,-20.3428,57.7575,79.21,82,92,12.73,overcast clouds
18,Thompson,CA,55.7435,-97.8558,-5.15,81,6,6.85,clear sky
19,Rocha,UY,-34.4833,-54.3333,71.35,44,0,19.66,clear sky
20,Georgetown,MY,5.4112,100.3354,78.73,91,40,0.0,scattered clouds
21,Mataura,NZ,-46.1927,168.8643,43.48,90,10,0.92,clear sky
22,Obodivka,UA,48.4051,29.2477,37.26,63,100,10.65,overcast clouds
23,Charters Towers,AU,-20.1,146.2667,69.17,79,100,5.5,overcast clouds
24,Port Alfred,ZA,-33.5906,26.891,75.02,82,47,26.22,scattered clouds
25,Leningradskiy,RU,69.3833,178.4167,-22.76,98,28,6.62,scattered clouds
26,Wladyslawowo,PL,54.7909,18.4009,42.01,96,100,16.84,light rain
27,Bluff,NZ,-46.6,168.3333,43.81,78,6,4.79,clear sky
28,Punta Arenas,CL,-53.15,-70.9167,69.91,52,75,16.11,broken clouds
29,Kapaa,US,22.0752,-159.319,75.52,80,75,1.01,light rain
30,Keflavik,IS,64.0049,-22.5624,27.03,74,100,9.22,overcast clouds
31,Buraydah,SA,26.326,43.975,55.92,37,0,5.55,clear sky
32,Baijiantan,CN,45.6333,85.1833,4.78,83,6,4.56,clear sky
33,Castro,BR,-24.7911,-50.0119,77.86,67,29,6.71,moderate rain
34,Vila Velha,BR,-20.3297,-40.2925,82.35,81,40,5.99,scattered clouds
35,Tautira,PF,-17.7333,-149.15,86.02,76,61,21.32,light rain
36,Dikson,RU,73.5069,80.5464,-20.54,99,94,9.64,overcast clouds
37,Kudahuvadhoo,MV,2.6708,72.8944,81.88,64,30,10.56,scattered clouds
38,Cidreira,BR,-30.1811,-50.2056,81.25,51,0,11.86,clear sky
39,Airai,TL,-8.9266,125.4092,60.82,89,92,1.16,overcast clouds
40,Derzhavinsk,KZ,51.1,66.3167,12.99,84,100,9.84,overcast clouds
41,Iqaluit,CA,63.7506,-68.5145,-32.31,66,71,1.99,broken clouds
42,Luxor,EG,25.6989,32.6421,59.43,30,0,8.25,clear sky
43,Namibe,AO,-15.1961,12.1522,75.06,69,100,13.47,overcast clouds
44,Sarakhs,IR,36.5449,61.1577,37.69,96,100,7.43,overcast clouds
45,Vaini,TO,-21.2,-175.2,75.36,94,100,10.36,light rain
46,Ribeira Grande,PT,38.5167,-28.7,63.0,82,75,12.66,broken clouds
47,Camana,PE,-16.6228,-72.7111,75.09,68,73,7.43,broken clouds
48,Ust-Nera,RU,64.5667,143.2,-24.47,79,4,3.02,clear sky
49,Santiago,CL,-33.4569,-70.6483,96.28,22,0,9.22,clear sky
50,Zhigansk,RU,66.7697,123.3711,-25.56,99,96,6.49,overcast clouds
51,Kutum,SD,14.2,24.6667,57.52,16,38,12.1,scattered clouds
52,Rikitea,PF,-23.1203,-134.9692,79.09,70,2,16.75,clear sky
53,Mar Del Plata,AR,-38.0023,-57.5575,68.09,88,75,7.0,mist
54,Jamestown,US,42.097,-79.2353,34.72,30,0,13.8,clear sky
55,Arman,RU,59.7,150.1667,2.01,71,4,10.98,clear sky
56,Inirida,CO,3.8653,-67.9239,86.18,62,100,3.49,overcast clouds
57,Puerto Ayora,EC,-0.7393,-90.3518,82.36,86,58,8.01,broken clouds
58,Pevek,RU,69.7008,170.3133,-24.34,99,33,1.05,scattered clouds
59,Cabo San Lucas,MX,22.8909,-109.9124,76.6,64,20,5.99,few clouds
60,Wichita Falls,US,33.9137,-98.4934,51.06,48,0,5.75,clear sky
