City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-01-31 20:27:25,-54.8,-68.3,53.22,66,40,23.02
1,Barrow,US,2022-01-31 20:27:26,71.2906,-156.7887,-12.98,77,0,9.22
2,Zhigansk,RU,2022-01-31 20:27:26,66.7697,123.3711,-30.82,99,88,7.99
3,Saint-Philippe,RE,2022-01-31 20:26:22,-21.3585,55.7679,80.19,79,94,15.17
4,Mahebourg,MU,2022-01-31 20:27:27,-20.4081,57.7,80.89,74,75,18.41
5,East London,ZA,2022-01-31 20:27:27,-33.0153,27.9116,77.41,81,100,3.38
6,Pacifica,US,2022-01-31 20:22:33,37.6138,-122.4869,61.93,78,75,5.01
7,Deputatskiy,RU,2022-01-31 20:27:27,69.3,139.9,-25.17,100,61,3.74
8,Kholodnyy,RU,2022-01-31 20:27:28,62.7167,147.95,-3.3,99,100,4.14
9,Carnarvon,AU,2022-01-31 20:27:28,-24.8667,113.6333,77.07,78,0,18.41
10,Bluff,NZ,2022-01-31 20:27:29,-46.6,168.3333,63.81,88,22,3.0
11,Dikson,RU,2022-01-31 20:27:29,73.5069,80.5464,-5.13,92,100,18.03
12,Rikitea,PF,2022-01-31 20:23:24,-23.1203,-134.9692,77.38,65,100,4.59
13,Vaini,TO,2022-01-31 20:26:27,-21.2,-175.2,79.84,75,100,14.56
14,Rafaela,AR,2022-01-31 20:27:30,-31.2503,-61.4867,87.01,36,0,4.0
15,Severo-Kurilsk,RU,2022-01-31 20:27:30,50.6789,156.125,28.36,75,100,17.49
16,Lexington,US,2022-01-31 20:26:24,37.9887,-84.4777,44.49,50,0,1.01
17,Puerto Ayora,EC,2022-01-31 20:27:31,-0.7393,-90.3518,78.76,91,59,4.0
18,Nicoya,CR,2022-01-31 20:27:31,10.1483,-85.452,85.55,49,33,14.85
19,Vestmanna,FO,2022-01-31 20:27:31,62.1564,-7.1664,38.32,100,100,11.5
20,Chara,RU,2022-01-31 20:27:32,56.9064,118.2631,-21.48,89,93,0.94
21,Salalah,OM,2022-01-31 20:27:32,17.0151,54.0924,71.69,68,0,5.75
22,Khatanga,RU,2022-01-31 20:27:33,71.9667,102.5,-27.26,100,80,2.62
23,Punta Arenas,CL,2022-01-31 20:27:33,-53.15,-70.9167,50.11,71,75,39.12
24,Busselton,AU,2022-01-31 20:27:33,-33.65,115.3333,59.04,61,40,14.67
25,Kavieng,PG,2022-01-31 20:27:34,-2.5744,150.7967,79.77,80,100,6.76
26,Butaritari,KI,2022-01-31 20:27:34,3.0707,172.7902,81.1,78,95,15.84
27,Westport,US,2022-01-31 20:24:27,41.1415,-73.3579,32.92,44,0,1.01
28,Susanville,US,2022-01-31 20:27:35,40.4163,-120.653,49.8,51,0,7.0
29,Thompson,CA,2022-01-31 20:26:34,55.7435,-97.8558,1.56,78,100,6.91
30,Cape Town,ZA,2022-01-31 20:24:52,-33.9258,18.4232,80.11,76,0,1.01
31,Gillette,US,2022-01-31 20:24:36,44.2911,-105.5022,43.72,36,100,7.0
32,Am Timan,TD,2022-01-31 20:27:35,11.0297,20.2827,75.18,15,3,7.45
33,Nikolskoye,RU,2022-01-31 20:27:36,59.7035,30.7861,26.4,97,100,5.1
34,Gunjur,GM,2022-01-31 20:27:36,13.2019,-16.7339,77.07,57,99,5.75
35,Abu Dhabi,AE,2022-01-31 20:23:07,24.4667,54.3667,67.96,86,0,0.0
36,Bontang,ID,2022-01-31 20:27:37,0.1333,117.5,78.01,85,100,7.72
37,Ponta Do Sol,PT,2022-01-31 20:27:37,32.6667,-17.1,66.0,54,36,13.02
38,Labuhan,ID,2022-01-31 20:27:37,-6.8844,112.2051,77.92,88,100,7.63
39,Los Llanos De Aridane,ES,2022-01-31 20:26:13,28.6585,-17.9182,59.13,77,0,1.99
40,Jacareacanga,BR,2022-01-31 20:27:38,-6.2222,-57.7528,79.99,88,100,2.1
41,Port Alfred,ZA,2022-01-31 20:27:38,-33.5906,26.891,75.78,93,100,10.36
42,Ust-Nera,RU,2022-01-31 20:27:38,64.5667,143.2,-14.13,100,100,1.7
43,Victoria,HK,2022-01-31 20:25:21,22.2855,114.1577,57.94,89,100,1.01
44,Mbigou,GA,2022-01-31 20:27:39,-1.9005,11.906,71.89,83,92,0.98
45,Barcelos,PT,2022-01-31 20:27:39,41.5388,-8.6151,54.84,76,2,6.78
46,Longyearbyen,SJ,2022-01-31 20:27:40,78.2186,15.6401,10.24,72,75,12.66
47,Aklavik,CA,2022-01-31 20:28:40,68.2191,-135.0107,3.2,78,75,10.36
48,Hobart,AU,2022-01-31 20:27:37,-42.8794,147.3294,70.11,88,20,3.44
49,Kapaa,US,2022-01-31 20:28:41,22.0752,-159.319,77.11,71,0,1.01
50,Hasaki,JP,2022-01-31 20:28:41,35.7333,140.8333,28.8,41,40,11.74
51,Brookhaven,US,2022-01-31 20:25:35,31.5791,-90.4407,68.95,45,98,6.02
52,Albany,US,2022-01-31 20:26:21,42.6001,-73.9662,30.81,40,11,1.01
53,Tiznit,MA,2022-01-31 20:28:42,29.5833,-9.5,65.3,39,99,3.42
54,Kahului,US,2022-01-31 20:28:42,20.8947,-156.47,81.66,62,0,0.0
55,Hermanus,ZA,2022-01-31 20:28:43,-34.4187,19.2345,79.9,79,23,12.91
56,Klaksvik,FO,2022-01-31 20:28:43,62.2266,-6.589,40.12,98,100,21.74
57,Saint-Denis,FR,2022-01-31 20:28:43,48.9167,2.3333,41.14,63,0,3.0
58,Emet,TR,2022-01-31 20:28:44,39.343,29.2585,24.4,90,12,4.97
59,Kulhudhuffushi,MV,2022-01-31 20:28:44,6.6221,73.07,81.88,72,0,10.11
60,Hambantota,LK,2022-01-31 20:24:42,6.1241,81.1185,76.23,82,4,16.75
61,Tuktoyaktuk,CA,2022-01-31 20:28:44,69.4541,-133.0374,-13.0,70,75,6.91
62,Sao Felix Do Xingu,BR,2022-01-31 20:28:45,-6.6447,-51.995,76.87,95,94,0.78
63,Provideniya,RU,2022-01-31 20:28:45,64.3833,-173.3,3.65,78,92,20.31
64,Ravar,IR,2022-01-31 20:28:46,31.2656,56.8055,48.27,35,4,5.03
65,Tabou,CI,2022-01-31 20:28:46,4.423,-7.3528,79.9,82,91,6.58
66,Arraial Do Cabo,BR,2022-01-31 20:28:46,-22.9661,-42.0278,80.56,83,75,8.05
67,Sijunjung,ID,2022-01-31 20:28:47,-0.6876,100.9537,71.26,98,77,1.41
68,Tasiilaq,GL,2022-01-31 20:28:47,65.6145,-37.6368,10.56,96,100,4.23
69,Coracora,PE,2022-01-31 20:28:48,-15.0333,-73.7833,52.83,68,100,8.46
70,Ahipara,NZ,2022-01-31 20:28:48,-35.1667,173.1667,68.79,93,100,14.5
71,Hede,CN,2022-01-31 20:28:49,33.7681,120.2517,30.7,49,100,7.14
72,Saldanha,ZA,2022-01-31 20:28:49,-33.0117,17.9442,80.65,69,8,4.68
73,Belaya Gora,RU,2022-01-31 20:28:49,68.5333,146.4167,-21.21,96,100,0.65
74,Tuatapere,NZ,2022-01-31 20:28:50,-46.1333,167.6833,63.82,81,25,2.13
75,Marshall,US,2022-01-31 20:28:50,34.3834,-86.3333,61.97,32,0,5.01
